"","Origin.City","Origin.State","Destination.City","Destination.State","Class","Age","Gender","Type.of.Travel","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Flyer.Status","Total.Frequent.Flyer.Accounts","Loyalty","Likelihood.to.Recommend","Shopping.at.Airport","Eating.and.Drinking.at.Airport","Partner.Code","Partner.Name","Flight.Cancelled","Month.of.Flight","Day.of.Flight","Scheduled.Time.of.Departure","Departure.Delay.In.Minutes","Arrival.Delay.in.Minutes","Flight.Duration.in.Minutes","Flight.Distance","Origin.Longitude","Origin.Latitude","Destination.Longitude","Destination.Latitude","Comments"
"1282","Los Angeles","California","New York","New York","Eco",57,"Female","Mileage tickets",1,2008,21,"Blue",0,-0.5,7,30,45,"AA","Paul Smith Airlines Inc.","No",2,6,13,0,0,268,2475,-118.1043,33.9827,-73.9702,40.7184,NA
"1283","New York","New York","Chicago","Illinois","Eco",39,"Male","Business travel",0,2003,35,"Blue",0,-0.8421,9,150,30,"AA","Paul Smith Airlines Inc.","No",2,13,18,94,69,109,733,-73.9702,40.7184,-87.8954,41.8271,NA
"1284","New York","New York","Boston","Massachusetts","Eco",36,"Male","Business travel",2,2005,2,"Blue",0,0.6667,9,0,20,"US","Southeast Airlines Co.","No",3,12,20,0,0,32,184,-73.9702,40.7184,-71.1407,42.3731,NA
"1285","Los Angeles","California","San Jose","California","Eco",41,"Female","Business travel",2,2012,11,"Blue",2,0.1538,9,55,45,"OO","Northwest Business Airlines Inc.","No",3,6,18,25,16,51,308,-118.1043,33.9827,-121.9451,37.3298,NA
"1286","Atlanta","Georgia","Shreveport","Louisiana","Eco Plus",63,"Male","Personal Travel",1,2005,32,"Blue",2,-0.8824,7,10,90,"EV","FlyFast Airways Inc.","No",3,31,15,6,0,82,551,-84.3319,33.8241,-93.7562,32.4873,NA
"1287","Atlanta","Georgia","San Juan","Puerto Rico","Eco",28,"Male","Business travel",2,2005,29,"Blue",0,-0.9333,6,30,20,"WN","Cheapseats Airlines Inc.","No",3,7,11,5,6,187,1547,-84.3319,33.8241,-66.1162,18.2882,NA
"1288","Atlanta","Georgia","Houston","Texas","Eco",53,"Female","Business travel",1,2003,3,"Platinum",1,0.4,10,10,80,"EV","FlyFast Airways Inc.","No",2,16,8,0,0,99,689,-84.3319,33.8241,-95.3935,29.7843,NA
"1289","San Antonio","Texas","Denver","Colorado","Eco Plus",60,"Female","Business travel",1,2007,6,"Silver",0,0.0769,8,5,135,"WN","Cheapseats Airlines Inc.","No",3,6,7,0,7,127,794,-98.4754,29.5144,-104.9551,39.7108,NA
"1290","Los Angeles","California","Lihue","Hawaii","Eco",55,"Male","Business travel",2,2005,10,"Platinum",0,-0.3333,1,0,185,"OU","Oursin Airlines Inc.","No",3,28,14,0,1,348,2615,-118.1043,33.9827,-159.3617,21.9758,NA
"1291","Chicago","Illinois","Cleveland","Ohio","Eco",17,"Male","Mileage tickets",2,2012,29,"Blue",1,-0.5263,6,0,0,"MQ","EnjoyFlying Air Services","No",2,27,6,0,0,48,315,-87.8954,41.8271,-81.6054,41.4436,NA
"1292","Boston","Massachusetts","Orlando","Florida","Eco",46,"Female","Business travel",1,2011,5,"Blue",0,0.2857,9,20,20,"B6","OnlyJets Airlines Inc.","No",1,4,8,269,260,168,1121,-71.1407,42.3731,-81.4112,28.5844,NA
"1293","Los Angeles","California","Washington","Virginia","Eco Plus",63,"Female","Business travel",1,2012,37,"Blue",0,-0.6087,8,90,0,"OU","Oursin Airlines Inc.","No",3,21,23,9,0,240,2288,-118.1043,33.9827,-77.1897,38.8974,NA
"1294","Wichita","Kansas","Houston","Texas","Eco",75,"Male","Personal Travel",3,2009,23,"Blue",0,-0.9167,3,0,40,"EV","FlyFast Airways Inc.","No",1,10,10,0,4,92,542,-97.3273,37.6797,-95.3935,29.7843,NA
"1295","San Diego","California","Los Angeles","California","Eco",47,"Male","Business travel",1,2003,7,"Silver",1,-0.75,10,0,90,"OO","Northwest Business Airlines Inc.","No",2,9,14,0,0,30,109,-117.1288,32.9287,-118.1043,33.9827,NA
"1296","Orlando","Florida","New York","New York","Eco",29,"Male","Business travel",1,2003,19,"Silver",2,-0.3103,9,10,60,"B6","OnlyJets Airlines Inc.","No",1,17,13,4,0,110,944,-81.4112,28.5844,-73.9702,40.7184,NA
"1297","San Antonio","Texas","Houston","Texas","Eco",39,"Female","Business travel",1,2006,2,"Blue",3,0.6364,7,0,75,"OU","Oursin Airlines Inc.","No",2,14,5,0,0,41,191,-98.4754,29.5144,-95.3935,29.7843,NA
"1298","Houston","Texas","Boston","Massachusetts","Eco",46,"Male","Business travel",2,2008,38,"Blue",0,-0.9,7,0,10,"OU","Oursin Airlines Inc.","No",3,22,14,1,0,181,1597,-95.3935,29.7843,-71.1407,42.3731,NA
"1299","New Orleans","Louisiana","Houston","Texas","Eco",21,"Male","Business travel",2,2009,1,"Blue",4,0.3333,6,0,3,"OU","Oursin Airlines Inc.","No",2,21,6,0,0,60,305,-90.1437,29.9547,-95.3935,29.7843,NA
"1300","Austin","Texas","Dallas","Texas","Eco",25,"Male","Business travel",1,2003,4,"Blue",0,-0.1429,3,3,60,"WN","Cheapseats Airlines Inc.","No",2,14,20,20,26,38,189,-97.7615,30.3585,-96.972,32.8127,NA
"1301","El Paso","Texas","Phoenix","Arizona","Business",34,"Male","Business travel",1,2003,6,"Blue",2,0.1429,7,0,0,"OO","Northwest Business Airlines Inc.","No",2,2,6,0,0,62,347,-106.389,31.7802,-111.97,33.4941,NA
"1302","Buffalo","New York","Las Vegas","Nevada","Eco",49,"Male","Business travel",1,2006,17,"Blue",0,-0.36,10,60,115,"WN","Cheapseats Airlines Inc.","No",3,8,15,0,3,259,1986,-78.8237,42.9249,-115.1672,36.1349,NA
"1303","Montgomery","Alabama","Atlanta","Georgia","Eco",36,"Male","Personal Travel",2,2003,54,"Silver",0,-0.7419,8,0,30,"EV","FlyFast Airways Inc.","No",1,25,7,0,0,32,147,-86.2975,32.4,-84.3319,33.8241,NA
"1304","Philadelphia","Pennsylvania","Las Vegas","Nevada","Eco",63,"Male","Personal Travel",2,2006,41,"Silver",0,-0.8222,9,4,20,"US","Southeast Airlines Co.","No",3,14,11,0,0,303,2176,-75.2984,39.9733,-115.1672,36.1349,NA
"1305","Atlanta","Georgia","Oklahoma City","Oklahoma","Eco",38,"Female","Business travel",2,2011,9,"Silver",4,0.5385,9,6,55,"FL","FlyHere Airways","No",3,16,8,0,0,114,761,-84.3319,33.8241,-97.5243,35.5048,NA
"1306","Houston","Texas","St. Louis","Missouri","Eco",57,"Male","Business travel",1,2007,4,"Blue",0,-0.3333,7,0,75,"WN","Cheapseats Airlines Inc.","No",1,29,14,0,0,91,687,-95.3935,29.7843,-90.3409,38.6307,NA
"1307","Austin","Texas","Denver","Colorado","Business",77,"Male","Mileage tickets",2,2012,12,"Blue",0,-0.2632,6,0,55,"OU","Oursin Airlines Inc.","No",3,19,9,0,0,112,775,-97.7615,30.3585,-104.9551,39.7108,NA
"1308","Harrisburg","Pennsylvania","Atlanta","Georgia","Eco",62,"Female","Personal Travel",1,2004,15,"Gold",0,-0.875,4,100,20,"EV","FlyFast Airways Inc.","No",1,7,16,44,24,97,620,-76.8662,40.2456,-84.3319,33.8241,NA
"1309","Denver","Colorado","Atlanta","Georgia","Eco",39,"Female","Business travel",1,2008,15,"Blue",2,-0.0714,7,0,50,"DL","Sigma Airlines Inc.","No",1,20,13,0,0,130,1199,-104.9551,39.7108,-84.3319,33.8241,NA
"1310","Detroit","Michigan","Washington","Virginia","Eco",60,"Female","Business travel",1,2006,17,"Blue",0,-0.4167,8,0,88,"DL","Sigma Airlines Inc.","No",2,10,7,0,13,64,405,-83.2276,42.49,-77.1897,38.8974,NA
"1311","Lihue","Hawaii","Seattle","Washington","Eco",15,"Male","Personal Travel",1,2011,17,"Blue",3,-0.4167,6,0,2,"AS","FlyToSun Airlines Inc.","No",2,24,14,0,0,302,2701,-159.3617,21.9758,-122.2747,47.4684,NA
"1312","San Luis Obispo","California","San Francisco","California","Eco",80,"Female","Personal Travel",1,2012,41,"Blue",0,-0.6078,7,0,30,"OO","Northwest Business Airlines Inc.","Yes",1,4,9,15.2988083416087,15.6108232011162,115.183775164441,190,-120.6655,35.2792,-122.1585,37.6712,NA
"1313","Bakersfield","California","Denver","Colorado","Eco",30,"Male","Business travel",1,2003,18,"Blue",0,-0.8947,8,0,5,"OO","Northwest Business Airlines Inc.","No",3,15,13,10,19,137,845,-119.0306,35.3623,-104.9551,39.7108,NA
"1314","Atlanta","Georgia","Charleston","South Carolina","Eco",44,"Female","Business travel",1,2005,7,"Silver",1,0.5,9,30,45,"DL","Sigma Airlines Inc.","No",3,17,18,6,1,45,259,-84.3319,33.8241,-80.0155,32.9023,NA
"1315","Philadelphia","Pennsylvania","Atlanta","Georgia","Eco",29,"Female","Business travel",2,2009,13,"Silver",0,-0.1304,8,60,0,"DL","Sigma Airlines Inc.","No",2,21,15,153,137,102,666,-75.2984,39.9733,-84.3319,33.8241,NA
"1316","San Diego","California","Philadelphia","Pennsylvania","Eco",25,"Female","Business travel",2,2006,5,"Blue",1,0.4118,7,0,60,"US","Southeast Airlines Co.","No",1,7,11,41,36,269,2370,-117.1288,32.9287,-75.2984,39.9733,NA
"1317","Houston","Texas","El Paso","Texas","Eco Plus",43,"Male","Business travel",1,2007,18,"Blue",3,-0.7143,8,0,87,"WN","Cheapseats Airlines Inc.","No",2,23,20,14,0,102,677,-95.3935,29.7843,-106.389,31.7802,NA
"1318","Boston","Massachusetts","Denver","Colorado","Eco",33,"Female","Business travel",1,2003,7,"Blue",4,0.6,9,0,150,"OU","Oursin Airlines Inc.","No",1,17,15,8,0,243,1754,-71.1407,42.3731,-104.9551,39.7108,NA
"1319","Chicago","Illinois","Akron","Ohio","Eco",29,"Male","Business travel",1,2010,50,"Blue",1,-0.3158,8,0,31,"EV","FlyFast Airways Inc.","No",3,29,16,206,219,58,343,-87.8954,41.8271,-81.4919,41.0662,NA
"1320","San Francisco","California","Detroit","Michigan","Eco",60,"Female","Personal Travel",1,2011,16,"Blue",0,-0.2308,6,0,25,"DL","Sigma Airlines Inc.","No",3,14,23,0,0,230,2079,-122.1585,37.6712,-83.2276,42.49,NA
"1321","Chicago","Illinois","Fargo","North Dakota","Eco",48,"Male","Business travel",2,2003,39,"Blue",1,-0.2787,9,0,25,"MQ","EnjoyFlying Air Services","No",1,21,15,1,5,97,557,-87.8954,41.8271,-96.8207,46.8625,NA
"1322","Lubbock","Texas","Dallas","Texas","Eco",80,"Female","Personal Travel",1,2009,33,"Blue",0,-0.5714,3,0,130,"WN","Cheapseats Airlines Inc.","No",2,20,16,8,3,47,293,-101.8932,33.5592,-96.972,32.8127,NA
"1323","Atlanta","Georgia","Miami","Florida","Eco",34,"Male","Business travel",3,2010,2,"Blue",3,0.6,7,0,20,"DL","Sigma Airlines Inc.","No",3,30,14,30,25,84,594,-84.3319,33.8241,-80.2314,26.1756,NA
"1324","Los Angeles","California","San Diego","California","Eco",34,"Female","Personal Travel",1,2007,8,"Silver",3,0.2727,8,0,90,"OO","Northwest Business Airlines Inc.","No",3,14,20,47,55,35,109,-118.1043,33.9827,-117.1288,32.9287,NA
"1325","Charlotte","North Carolina","Minneapolis","Minnesota","Eco",42,"Male","Business travel",1,2007,3,"Blue",3,0.6471,8,0,40,"US","Southeast Airlines Co.","No",3,17,19,29,28,135,930,-80.8158,35.2497,-93.2798,44.9782,NA
"1326","Baltimore","Maryland","Charlotte","North Carolina","Eco",67,"Male","Mileage tickets",2,2005,39,"Silver",0,-0.8571,8,5,30,"WN","Cheapseats Airlines Inc.","No",3,22,14,5,0,62,361,-76.6478,39.2341,-80.8158,35.2497,NA
"1327","Denver","Colorado","Chicago","Illinois","Eco",35,"Female","Business travel",1,2006,15,"Platinum",1,0.2857,3,120,0,"WN","Cheapseats Airlines Inc.","No",3,15,14,9,0,112,895,-104.9551,39.7108,-87.8954,41.8271,NA
"1328","San Antonio","Texas","Minneapolis","Minnesota","Business",49,"Female","Business travel",1,2005,21,"Blue",0,-0.68,6,0,15,"EV","FlyFast Airways Inc.","No",2,4,11,18,0,119,1097,-98.4754,29.5144,-93.2798,44.9782,NA
"1329","Fresno","California","Phoenix","Arizona","Eco Plus",58,"Male","Business travel",1,2004,9,"Blue",0,-0.2,10,5,90,"OO","Northwest Business Airlines Inc.","No",1,2,16,0,0,80,493,-119.7611,36.7878,-111.97,33.4941,NA
"1330","Phoenix","Arizona","Atlanta","Georgia","Eco",22,"Female","Business travel",1,2004,2,"Blue",1,0.5,9,0,140,"DL","Sigma Airlines Inc.","No",2,20,6,0,0,172,1587,-111.97,33.4941,-84.3319,33.8241,NA
"1331","Albuquerque","New Mexico","Phoenix","Arizona","Eco",43,"Male","Mileage tickets",2,2003,2,"Silver",0,0.5,8,0,210,"WN","Cheapseats Airlines Inc.","No",1,14,7,1,0,53,328,-106.6281,35.1434,-111.97,33.4941,NA
"1332","Birmingham","Alabama","Baltimore","Maryland","Eco",41,"Male","Business travel",2,2012,22,"Blue",1,0.2143,7,95,130,"WN","Cheapseats Airlines Inc.","No",1,5,14,206,243,86,682,-86.792,33.4691,-76.6478,39.2341,NA
"1333","Chicago","Illinois","Kansas City","Missouri","Eco",77,"Female","Mileage tickets",1,2010,37,"Blue",1,-0.6818,6,0,45,"WN","Cheapseats Airlines Inc.","No",3,28,8,22,29,68,405,-87.8954,41.8271,-94.5949,39.0398,NA
"1334","Miami","Florida","Columbus","Ohio","Eco",76,"Female","Personal Travel",2,2004,23,"Silver",0,-0.6429,7,120,44,"MQ","EnjoyFlying Air Services","No",3,23,10,13,16,144,990,-80.2314,26.1756,-82.9685,40.0212,NA
"1335","Boston","Massachusetts","Atlanta","Georgia","Eco",21,"Male","Business travel",2,2004,14,"Blue",0,-0.5556,8,45,20,"DL","Sigma Airlines Inc.","No",1,31,11,9,27,164,946,-71.1407,42.3731,-84.3319,33.8241,NA
"1336","Baltimore","Maryland","Pittsburgh","Pennsylvania","Eco",63,"Male","Personal Travel",1,2009,21,"Platinum",0,-0.4483,3,0,315,"WN","Cheapseats Airlines Inc.","No",1,19,21,0,0,41,210,-76.6478,39.2341,-79.951,40.457,NA
"1337","Minneapolis","Minnesota","San Diego","California","Eco Plus",17,"Female","Personal Travel",1,2011,2,"Blue",2,0.3333,6,0,10,"DL","Sigma Airlines Inc.","No",1,4,11,0,0,213,1532,-93.2798,44.9782,-117.1288,32.9287,NA
"1338","Colorado Springs","Colorado","Salt Lake City","Utah","Eco",43,"Male","Mileage tickets",1,2007,18,"Blue",1,-0.6364,6,0,20,"OO","Northwest Business Airlines Inc.","No",3,6,8,0,0,75,411,-104.7706,38.873,-111.9295,40.6408,NA
"1339","Memphis","Tennessee","Minneapolis","Minnesota","Eco Plus",26,"Female","Business travel",1,2004,21,"Blue",0,-0.68,10,15,85,"DL","Sigma Airlines Inc.","No",1,30,14,0,0,102,700,-89.9179,35.0951,-93.2798,44.9782,NA
"1340","Seattle","Washington","Lihue","Hawaii","Eco",66,"Male","Business travel",2,2004,10,"Gold",0,-0.4286,4,0,150,"AS","FlyToSun Airlines Inc.","No",2,2,8,0,0,344,2701,-122.2747,47.4684,-159.3617,21.9758,NA
"1341","Kansas City","Missouri","Atlanta","Georgia","Eco",33,"Female","Business travel",2,2004,17,"Gold",0,-0.619,10,15,90,"FL","FlyHere Airways","No",2,19,10,0,0,92,692,-94.5949,39.0398,-84.3319,33.8241,NA
"1342","Kansas City","Missouri","Las Vegas","Nevada","Eco",50,"Male","Business travel",2,2003,16,"Blue",2,-0.2308,10,0,90,"WN","Cheapseats Airlines Inc.","No",1,26,7,0,0,168,1139,-94.5949,39.0398,-115.1672,36.1349,NA
"1343","Charlotte","North Carolina","Atlanta","Georgia","Eco",59,"Male","Personal Travel",1,2004,51,"Blue",0,-0.7,7,60,40,"US","Southeast Airlines Co.","No",2,7,16,0,3,41,226,-80.8158,35.2497,-84.3319,33.8241,NA
"1344","Chicago","Illinois","Kalamazoo","Michigan","Eco",64,"Female","Personal Travel",1,2003,24,"Blue",0,-0.7778,4,40,115,"MQ","EnjoyFlying Air Services","No",2,26,8,0,0,23,122,-87.8954,41.8271,-85.5924,42.2502,NA
"1345","Providence","Rhode Island","Atlanta","Georgia","Eco",80,"Male","Personal Travel",3,2007,22,"Blue",0,-0.8333,7,5,90,"DL","Sigma Airlines Inc.","No",3,26,7,0,0,130,903,-71.3974,41.7763,-84.3319,33.8241,NA
"1346","Las Vegas","Nevada","San Jose","California","Eco Plus",72,"Male","Personal Travel",1,2011,23,"Gold",0,-0.9167,8,60,120,"WN","Cheapseats Airlines Inc.","No",1,22,12,0,0,63,386,-115.1672,36.1349,-121.9451,37.3298,NA
"1347","Los Angeles","California","Seattle","Washington","Eco Plus",46,"Female","Personal Travel",2,2006,12,"Blue",0,-0.4118,4,50,80,"OO","Northwest Business Airlines Inc.","No",2,12,7,0,11,140,954,-118.1043,33.9827,-122.2747,47.4684,NA
"1348","Washington","Virginia","San Francisco","California","Eco",70,"Male","Personal Travel",1,2006,32,"Blue",0,-0.7778,3,0,30,"OU","Oursin Airlines Inc.","No",2,17,20,26,24,338,2419,-77.1897,38.8974,-122.1585,37.6712,NA
"1349","Orlando","Florida","Atlanta","Georgia","Eco",77,"Female","Personal Travel",0,2003,72,"Silver",0,-0.7778,9,61,75,"DL","Sigma Airlines Inc.","No",1,4,12,9,0,64,404,-81.4112,28.5844,-84.3319,33.8241,NA
"1350","Washington","Virginia","Los Angeles","California","Eco",44,"Male","Business travel",1,2009,16,"Blue",0,-0.28,10,0,25,"AA","Paul Smith Airlines Inc.","No",1,12,17,0,0,310,2288,-77.1897,38.8974,-118.1043,33.9827,NA
"1351","San Antonio","Texas","Denver","Colorado","Eco Plus",68,"Female","Personal Travel",1,2003,34,"Blue",0,-0.7436,3,195,50,"WN","Cheapseats Airlines Inc.","No",2,11,11,11,7,115,794,-98.4754,29.5144,-104.9551,39.7108,NA
"1352","New York","New York","Atlanta","Georgia","Eco",22,"Female","Mileage tickets",1,2003,13,"Blue",0,-0.1818,10,20,80,"DL","Sigma Airlines Inc.","No",2,18,17,0,0,114,760,-73.9702,40.7184,-84.3319,33.8241,NA
"1353","Las Vegas","Nevada","San Diego","California","Eco",56,"Male","Business travel",1,2008,13,"Blue",0,-0.1304,7,0,90,"WN","Cheapseats Airlines Inc.","No",1,17,7,1,0,44,258,-115.1672,36.1349,-117.1288,32.9287,NA
"1354","Pittsburgh","Pennsylvania","Charlotte","North Carolina","Eco",17,"Male","Mileage tickets",1,2005,25,"Blue",1,-0.5152,8,0,20,"US","Southeast Airlines Co.","No",1,1,12,0,0,64,366,-79.951,40.457,-80.8158,35.2497,NA
"1355","Detroit","Michigan","Minneapolis","Minnesota","Eco Plus",43,"Male","Personal Travel",1,2003,62,"Blue",0,-0.7971,4,0,20,"DL","Sigma Airlines Inc.","No",3,13,15,10,9,93,528,-83.2276,42.49,-93.2798,44.9782,NA
"1356","Santa Barbara","California","Los Angeles","California","Eco",18,"Male","Personal Travel",2,2010,8,"Blue",1,0,7,2,65,"OO","Northwest Business Airlines Inc.","No",3,27,6,0,0,26,89,-119.7241,34.4275,-118.1043,33.9827,NA
"1357","Orlando","Florida","Charlotte","North Carolina","Eco",43,"Female","Business travel",1,2006,22,"Blue",1,-0.76,5,0,105,"US","Southeast Airlines Co.","No",3,30,17,0,10,85,468,-81.4112,28.5844,-80.8158,35.2497,NA
"1358","Dayton","Ohio","Washington","Virginia","Eco Plus",47,"Female","Personal Travel",1,2003,42,"Blue",0,-0.7872,4,0,60,"EV","FlyFast Airways Inc.","No",1,19,19,0,0,51,368,-84.1671,39.7549,-77.1897,38.8974,NA
"1359","Denver","Colorado","Orlando","Florida","Eco",69,"Female","Personal Travel",1,2012,32,"Blue",0,-0.6842,4,255,30,"F9","GoingNorth Airlines Inc.","No",3,24,16,3,0,165,1546,-104.9551,39.7108,-81.4112,28.5844,NA
"1360","Boston","Massachusetts","New York","New York","Eco Plus",74,"Female","Personal Travel",2,2010,25,"Blue",0,-0.6667,4,0,120,"B6","OnlyJets Airlines Inc.","No",2,9,17,0,0,50,187,-71.1407,42.3731,-73.9702,40.7184,NA
"1361","Tampa","Florida","Atlanta","Georgia","Eco",79,"Male","Personal Travel",2,2005,26,"Blue",0,-0.5758,5,0,105,"DL","Sigma Airlines Inc.","No",1,17,17,6,6,67,406,-82.5132,28.0062,-84.3319,33.8241,NA
"1362","Houston","Texas","Tulsa","Oklahoma","Eco",41,"Male","Business travel",1,2003,15,"Blue",1,-0.0345,7,0,75,"EV","FlyFast Airways Inc.","No",2,23,21,4,24,66,429,-95.3935,29.7843,-95.9013,36.1054,NA
"1363","Salt Lake City","Utah","Rock Springs","Wyoming","Eco",34,"Female","Business travel",1,2006,22,"Blue",2,-0.6923,9,60,60,"OO","Northwest Business Airlines Inc.","No",3,22,20,0,0,32,162,-111.9295,40.6408,-109.2408,41.5955,NA
"1364","Atlanta","Georgia","Chicago","Illinois","Eco Plus",44,"Male","Business travel",1,2012,9,"Platinum",2,-0.2857,3,0,30,"DL","Sigma Airlines Inc.","No",2,26,10,0,4,94,606,-84.3319,33.8241,-87.8954,41.8271,NA
"1365","San Diego","California","Atlanta","Georgia","Business",15,"Female","Personal Travel",1,2007,17,"Blue",1,-0.7,7,60,50,"DL","Sigma Airlines Inc.","No",2,17,11,0,0,202,1892,-117.1288,32.9287,-84.3319,33.8241,NA
"1366","Atlanta","Georgia","Cleveland","Ohio","Eco",58,"Female","Business travel",2,2009,7,"Silver",0,0.0667,10,240,105,"DL","Sigma Airlines Inc.","No",2,4,13,21,0,69,554,-84.3319,33.8241,-81.6054,41.4436,NA
"1367","El Paso","Texas","Phoenix","Arizona","Eco",65,"Male","Personal Travel",2,2012,22,"Blue",0,-0.4194,3,0,45,"WN","Cheapseats Airlines Inc.","No",2,3,20,20,13,62,347,-106.389,31.7802,-111.97,33.4941,NA
"1368","Houston","Texas","Dallas","Texas","Eco",17,"Female","Personal Travel",2,2005,40,"Blue",2,-0.8605,6,0,35,"WN","Cheapseats Airlines Inc.","No",2,21,18,4,0,42,239,-95.3935,29.7843,-96.972,32.8127,NA
"1369","Buffalo","New York","Chicago","Illinois","Business",39,"Male","Personal Travel",2,2005,21,"Blue",1,-0.75,8,30,210,"OU","Oursin Airlines Inc.","No",1,23,16,14,44,79,473,-78.8237,42.9249,-87.8954,41.8271,NA
"1370","Omaha","Nebraska","Chicago","Illinois","Eco",17,"Female","Mileage tickets",1,2008,25,"Blue",1,-0.6667,9,61,34,"EV","FlyFast Airways Inc.","Yes",1,22,17,15.2988083416087,15.6108232011162,115.183775164441,416,-96.0346,41.2349,-87.8954,41.8271,NA
"1371","Atlanta","Georgia","Denver","Colorado","Eco",58,"Male","Personal Travel",0,2008,16,"Blue",0,-0.6842,4,0,30,"DL","Sigma Airlines Inc.","No",2,21,11,55,82,201,1199,-84.3319,33.8241,-104.9551,39.7108,NA
"1372","Grand Rapids","Michigan","Detroit","Michigan","Business",40,"Male","Business travel",1,2010,6,"Silver",4,0.7447,8,60,15,"DL","Sigma Airlines Inc.","No",3,30,16,0,0,28,120,-85.6686,42.9429,-83.2276,42.49,NA
"1373","Jackson","Wyoming","Houston","Texas","Eco",45,"Male","Business travel",1,2004,13,"Silver",2,0.1613,10,15,140,"OO","Northwest Business Airlines Inc.","Yes",3,1,13,15.2988083416087,15.6108232011162,115.183775164441,1265,-110.7567,43.4716,-95.3935,29.7843,NA
"1374","Eugene","Oregon","Portland","Oregon","Eco",36,"Female","Business travel",1,2012,12,"Blue",2,-0.1429,9,0,20,"OO","Northwest Business Airlines Inc.","No",3,14,21,0,0,25,106,-123.0766,44.066,-122.6511,45.5204,NA
"1375","Miami","Florida","Orlando","Florida","Eco Plus",61,"Male","Personal Travel",0,2008,29,"Gold",0,-0.4872,4,110,45,"AA","Paul Smith Airlines Inc.","No",1,5,18,6,5,34,192,-80.2314,26.1756,-81.4112,28.5844,NA
"1376","Denver","Colorado","Missoula","Montana","Eco",78,"Male","Personal Travel",2,2007,17,"Silver",0,-0.7,6,0,30,"OO","Northwest Business Airlines Inc.","No",2,22,7,0,9,103,679,-104.9551,39.7108,-114.0342,46.874,NA
"1377","Denver","Colorado","Pittsburgh","Pennsylvania","Eco",69,"Male","Personal Travel",1,2003,27,"Blue",0,-0.6364,4,85,45,"WN","Cheapseats Airlines Inc.","No",3,16,16,26,14,153,1290,-104.9551,39.7108,-79.951,40.457,NA
"1378","Fresno","California","San Francisco","California","Eco",27,"Male","Business travel",2,2003,43,"Blue",2,-0.72,9,0,45,"OO","Northwest Business Airlines Inc.","No",1,26,6,1,0,35,158,-119.7611,36.7878,-122.1585,37.6712,NA
"1379","Portland","Oregon","Seattle","Washington","Eco",22,"Female","Business travel",0,2010,17,"Blue",1,-0.4783,9,0,15,"OO","Northwest Business Airlines Inc.","No",3,13,13,0,0,35,129,-122.6511,45.5204,-122.2747,47.4684,NA
"1380","Chicago","Illinois","Washington","Virginia","Eco Plus",23,"Female","Personal Travel",2,2005,10,"Blue",3,0.2308,4,120,60,"OU","Oursin Airlines Inc.","No",2,19,16,8,0,73,589,-87.8954,41.8271,-77.1897,38.8974,NA
"1381","Cleveland","Ohio","Chicago","Illinois","Eco",30,"Female","Mileage tickets",2,2011,9,"Blue",3,0.2174,8,50,80,"EV","FlyFast Airways Inc.","No",3,8,14,0,8,64,315,-81.6054,41.4436,-87.8954,41.8271,NA
"1382","San Francisco","California","Boston","Massachusetts","Eco Plus",60,"Female","Business travel",1,2011,4,"Blue",0,0.3333,8,120,35,"B6","OnlyJets Airlines Inc.","No",1,30,21,24,2,269,2704,-122.1585,37.6712,-71.1407,42.3731,NA
"1383","Pittsburgh","Pennsylvania","Boston","Massachusetts","Eco Plus",76,"Female","Personal Travel",1,2003,37,"Blue",0,-0.9474,7,0,90,"B6","OnlyJets Airlines Inc.","No",3,18,11,0,0,69,496,-79.951,40.457,-71.1407,42.3731,NA
"1384","Pensacola","Florida","Atlanta","Georgia","Eco Plus",28,"Female","Business travel",1,2010,9,"Silver",0,0,9,0,40,"DL","Sigma Airlines Inc.","No",1,13,14,0,0,42,271,-87.2534,30.4853,-84.3319,33.8241,NA
"1385","Las Vegas","Nevada","Seattle","Washington","Eco Plus",41,"Female","Personal Travel",1,2004,4,"Silver",0,-0.3333,6,0,0,"WN","Cheapseats Airlines Inc.","No",3,15,20,29,33,141,867,-115.1672,36.1349,-122.2747,47.4684,NA
"1386","Portland","Oregon","Salt Lake City","Utah","Eco",37,"Female","Business travel",1,2005,20,"Gold",2,0.1111,9,0,69,"DL","Sigma Airlines Inc.","No",3,20,10,0,0,77,630,-122.6511,45.5204,-111.9295,40.6408,NA
"1387","Chicago","Illinois","Charlotte","North Carolina","Eco",45,"Male","Business travel",1,2011,4,"Blue",3,0.2727,9,0,155,"US","Southeast Airlines Co.","No",3,11,9,0,0,86,599,-87.8954,41.8271,-80.8158,35.2497,NA
"1388","Tampa","Florida","Denver","Colorado","Eco Plus",16,"Female","Personal Travel",2,2012,30,"Blue",1,-0.6667,8,0,85,"WN","Cheapseats Airlines Inc.","No",2,17,17,0,1,232,1506,-82.5132,28.0062,-104.9551,39.7108,NA
"1389","Portland","Oregon","Los Angeles","California","Eco",49,"Female","Personal Travel",1,2007,7,"Silver",2,0.1765,9,10,30,"AS","FlyToSun Airlines Inc.","No",1,21,11,0,0,118,834,-122.6511,45.5204,-118.1043,33.9827,NA
"1390","Tampa","Florida","Key West","Florida","Eco",31,"Male","Business travel",2,2007,13,"Blue",2,0.381,9,0,75,"WN","Cheapseats Airlines Inc.","No",3,10,11,0,0,43,240,-82.5132,28.0062,-81.7515,24.5696,NA
